model,loss,accuracy,macro_f1,weighted_f1
convlstm_no_attn,1.2368614743656827,0.5056858260738808,0.3595429367184351,0.5023218900130992
convlstm_attn,1.4789282001108617,0.4621928829910296,0.37186740521452183,0.46165008487695736
delta(ours-base),0.24206672574517896,-0.043492943082851176,0.012324468496086705,-0.04067180513614188

class_name,base_f1,ours_f1,delta_f1
无旱,0.5859317908519833,0.4049959186445585,-0.18093587220742485
轻旱,0.36767211119804655,0.5188946814924147,0.15122257029436814
中旱,0.4845678448237107,0.5441470599667381,0.059579215143027386
重/特旱,0.0,0.0194319607543763,0.0194319607543763
