model,loss,accuracy,macro_f1,weighted_f1
convlstm_no_attn,1.467038938252058,0.4601668871535287,0.3663748036793923,0.4611782464079216
convlstm_attn,1.4789282014842406,0.4621928829910296,0.37186740521452183,0.46165008487695736
delta(ours-base),0.011889263232182756,0.0020259958375009046,0.005492601535129538,0.0004718384690357569

class_name,base_f1,ours_f1,delta_f1
无旱,0.4137088617433897,0.4049959186445585,-0.00871294309883125
轻旱,0.5191279992094066,0.5188946814924147,-0.00023331771699186543
中旱,0.5112437771136289,0.5441470599667381,0.03290328285310917
重/特旱,0.021418576651144074,0.0194319607543763,-0.0019866158967677752
